year,city,parameter,station_name,count,mean,std,min,25%,50%,75%,max
2021,Torino,no2 µg/m³,Borgaro T. - Caduti,6368.0,25.00031407035176,16.735359196254254,1.0,12.0,21.0,34.0,132.0
2021,Torino,no2 µg/m³,Settimo T. - Vivaldi,6401.0,31.147633182315264,18.421910725761425,0.0,17.0,26.0,40.0,157.0
2021,Torino,no2 µg/m³,Torino - Consolata,6285.0,44.148130469371516,20.54830474519731,4.0,29.0,41.0,56.0,176.0
2021,Torino,no2 µg/m³,Torino - Rebaudengo,6375.0,49.371607843137255,24.8904113945125,0.0,32.0,44.0,61.0,268.0
2021,Torino,no2 µg/m³,Torino - Rubino,6241.0,25.415638519468033,17.622500885197823,0.0,12.0,21.0,36.0,99.0
2021,Torino,o3 µg/m³,Borgaro T. - Caduti,6148.0,48.75683148991542,39.16255175642178,2.0,14.0,41.0,74.0,189.0
2021,Torino,o3 µg/m³,Torino - Rubino,6010.0,44.740931780366054,39.63077979386393,2.0,8.0,35.0,70.0,279.0
2022,Firenze,no2 µg/m³,FI-BASSI,5631.0,18.351092168353755,15.11737904994831,0.0,7.0,13.0,26.0,86.0
2022,Firenze,no2 µg/m³,FI-GRAMSCI,1.0,88.0,,88.0,88.0,88.0,88.0,88.0
2022,Firenze,no2 µg/m³,FI-MOSSE,6500.0,35.342615384615385,17.186960115767924,2.0,22.0,34.0,45.0,259.0
2022,Firenze,no2 µg/m³,FI-SCANDICCI,7084.0,20.304488989271597,14.595018757536595,0.0,9.0,16.0,28.0,82.0
2022,Firenze,no2 µg/m³,FI-SETTIGNANO,5648.0,5.477160056657223,5.767053669798491,0.0,2.0,4.0,6.0,60.0
2022,Firenze,o3 µg/m³,FI-SETTIGNANO,6719.0,64.01220419705314,31.28017090555762,0.0,40.0,61.0,87.0,187.0
2022,Milano,no2 µg/m³,LIMITO,1402.0,47.13632667617689,22.737444139825683,6.8,29.924999999999997,46.2,63.075,124.0
2022,Milano,no2 µg/m³,MILANO - SENATO,1399.0,57.704431736954966,22.768748386603068,10.4,41.25,55.4,72.8,152.0
2022,Milano,no2 µg/m³,MILANO - V.LE MARCHE,1395.0,61.928931899641576,24.978811375341987,5.77,45.1,61.9,77.55,158.0
2022,Milano,no2 µg/m³,MILANO - VERZIERE,1393.0,48.752871500358935,20.765840780691303,7.75,33.0,47.8,62.9,133.0
2022,Milano,no2 µg/m³,MILANO PASCAL CITT� STUDI,1368.0,48.796023391812874,24.035090835907162,2.87,31.375,47.1,65.625,139.0
2022,Milano,no2 µg/m³,S. GIULIANO,1415.0,47.559618374558305,20.43899636860418,7.43,33.2,44.7,59.5,127.0
2022,Milano,no2 µg/m³,SESTO S.GIOVANNI,1397.0,61.527057981388694,24.158042157127447,13.0,43.6,59.6,77.3,159.0
2022,Milano,o3 µg/m³,LIMITO,1200.0,27.36368333333333,28.175537022480036,2.0,3.67,14.1,50.2,102.0
2022,Milano,o3 µg/m³,MILANO PASCAL CITT� STUDI,1387.0,26.733532804614274,26.448177283018595,2.0,4.215,14.0,48.9,95.4
2022,Napoli,no2 µg/m³,IT0898A,4256.0,42.85415413533835,25.439676147321226,2.89,23.4,37.5,57.7,139.0
