city,parameter,station_name,count,mean,std,min,25%,50%,75%,max
Roma,no2 µg/m³,Malagrotta,27467.0,16.069428769068338,14.312010141394797,-1.0,6.0,11.0,22.0,133.0
Roma,no2 µg/m³,TIBURTINA,37641.0,33.77272123482373,16.978299763610483,-2.0,22.0,31.0,43.0,644.0
Roma,no2 µg/m³,VILLA ADA,51970.0,19.821579757552435,13.455508537621375,-1.0,9.0,17.0,27.0,129.0
Roma,o3 µg/m³,ARENULA,31095.0,37.63235246824248,25.488249899058648,-1.0,15.0,37.0,57.0,196.0
Roma,o3 µg/m³,BUFALOTTA,30624.0,44.18903474399164,32.38482019360682,-1.0,16.0,42.0,69.0,194.0
Roma,o3 µg/m³,CINECITTA,22775.0,43.7397365532382,32.45598619226969,-1.0,15.0,42.0,66.0,222.0
Roma,o3 µg/m³,CIPRO,68285.0,41.95183422420737,26.46463498757411,-1.0,19.0,42.0,61.0,147.0
Roma,o3 µg/m³,IT1176A,19711.0,49.72353000862463,33.90374923838333,2.0,20.0,47.0,74.0,180.0
Roma,o3 µg/m³,IT1835A,18471.0,46.0220616100915,29.963652642677935,2.0,22.0,44.0,66.0,374.0
Roma,o3 µg/m³,IT1906A,19310.0,36.710590367685136,23.760225995086927,2.0,16.0,37.0,54.0,207.0
Roma,o3 µg/m³,IT2012A,19681.0,56.02060362786444,28.938825734990832,2.0,34.0,57.0,78.0,161.0
Roma,o3 µg/m³,L.GO PERESTRELLO,31088.0,46.07771487390633,35.41383981171149,-1.0,13.0,42.0,72.0,180.0
Roma,o3 µg/m³,MALAGROTTA,10015.0,52.17788317523714,26.28380986438134,-1.0,33.0,53.0,69.0,163.0
Roma,o3 µg/m³,Malagrotta,30817.0,51.06572670928384,27.038066124408186,0.0,30.0,52.0,70.0,163.0
Roma,o3 µg/m³,VILLA ADA,52869.0,46.43980404395771,36.513001945140175,-1.0,12.0,43.0,74.0,229.0
Roma,pm10 µg/m³,ARENULA,1153.0,22.12922810060711,11.493723567012742,5.0,15.0,20.0,26.0,134.0
Roma,pm10 µg/m³,BUFALOTTA,1125.0,22.80977777777778,11.96552329513315,0.0,16.0,21.0,27.0,120.0
Roma,pm10 µg/m³,C.SO FRANCIA,1136.0,26.06161971830986,12.114420962623996,0.0,18.0,24.0,31.0,148.0
Roma,pm10 µg/m³,CINECITTA,960.0,24.113541666666666,12.509292644236877,5.0,17.0,22.0,28.0,143.0
Roma,pm10 µg/m³,CIPRO,1818.0,23.652365236523654,11.711687261374681,0.0,17.0,22.0,28.0,130.0
Roma,pm10 µg/m³,Fermi,1132.0,25.586572438162545,11.888611967722003,5.0,18.0,24.0,30.0,127.0
Roma,pm10 µg/m³,L.GO MAGNA GRECIA,1138.0,23.586994727592266,11.095328813482894,2.0,16.0,22.0,28.0,123.0
Roma,pm10 µg/m³,L.GO PERESTRELLO,1062.0,25.870998116760827,12.71374562232899,6.0,18.0,23.0,31.0,162.0
Roma,pm10 µg/m³,Malagrotta,1143.0,21.093613298337708,10.829800269873731,1.0,15.0,19.0,24.0,116.0
Roma,pm10 µg/m³,TIBURTINA,1121.0,27.873327386262265,14.136958038394601,1.0,19.0,24.0,33.0,140.0
Roma,pm10 µg/m³,VILLA ADA,1745.0,21.65272206303725,10.915006019463824,2.0,15.0,20.0,26.0,121.0
Roma,pm25 µg/m³,ARENULA,1147.0,12.858761987794246,7.513868471592828,0.0,8.0,11.0,16.0,61.0
Roma,pm25 µg/m³,C.SO FRANCIA,1135.0,13.087224669603524,6.6814891277671205,0.0,9.0,12.0,16.0,48.0
Roma,pm25 µg/m³,CINECITTA,953.0,12.599160545645331,7.424612666271285,1.0,8.0,11.0,15.0,93.0
Roma,pm25 µg/m³,CIPRO,1804.0,11.924057649667406,6.6248241491538975,0.0,7.0,10.0,15.0,46.0
Roma,pm25 µg/m³,Malagrotta,1142.0,11.767950963222416,7.2925295840789035,2.0,7.0,10.0,14.0,59.0
Roma,pm25 µg/m³,VILLA ADA,1690.0,11.274556213017751,6.51893475286519,0.0,7.0,10.0,14.0,61.0
Torino,no2 µg/m³,Borgaro T. - Caduti,30248.0,20.281092964824122,15.355172064283977,-3.0,9.0,15.0,28.0,132.0
Torino,no2 µg/m³,Settimo T. - Vivaldi,30295.0,26.515613137481434,16.545478510655492,-6.0,14.0,23.0,35.0,200.0
Torino,no2 µg/m³,Torino - Consolata,30331.0,36.45328212060269,18.56171330498655,-1.0,23.0,33.0,46.0,176.0
Torino,no2 µg/m³,Torino - Rebaudengo,30635.0,43.53138566998531,22.021094314001065,-1.0,28.0,39.0,54.0,314.0
Torino,no2 µg/m³,Torino - Rubino,30689.0,25.47968327413731,15.843076272479212,-3.0,13.0,22.0,35.0,103.0
Torino,no2 µg/m³,Torino Lingotto,9271.0,27.250997734872183,13.987083455427706,-1.0,17.0,26.0,36.0,97.0
Torino,o3 µg/m³,Borgaro T. - Caduti,29525.0,49.150245554614735,38.08777339614519,-4.0,15.0,44.0,74.0,197.0
Torino,o3 µg/m³,Torino - Rubino,29451.0,52.20063834844318,54.73901946714132,-1.0,12.0,43.0,79.0,801.0
Torino,o3 µg/m³,Torino Lingotto,9410.0,55.132093517534535,36.402044057135654,-1.0,25.0,54.0,80.0,162.0
Torino,pm10 µg/m³,Torino - Rubino,18079.0,22.946374246363185,21.983848454399805,-487.0,10.0,19.0,31.0,1340.0
Torino,pm25 µg/m³,Torino - Rubino,18700.0,36.450748663101606,6838.638756234426,-512000.0,6.0,12.0,21.0,727000.0
