city,station_name,parameter,sensor_id,locality,timezone,is_mobile,is_monitor,distance,country,owner,provider,latitude,longitude,datetime_from,datetime_to
Milano,LIMITO,no2 µg/m³,24264,VIA PALERMO ANGOLO VIA EMILIA - Pioltello (MI),Europe/Rome,False,True,10981.06338934,Italy,Unknown Governmental Organization,EEA,45.48277800011663,9.327500000231232,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,LIMITO,o3 µg/m³,24263,VIA PALERMO ANGOLO VIA EMILIA - Pioltello (MI),Europe/Rome,False,True,10981.06338934,Italy,Unknown Governmental Organization,EEA,45.48277800011663,9.327500000231232,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,LIMITO,pm10 µg/m³,7775900,VIA PALERMO ANGOLO VIA EMILIA - Pioltello (MI),Europe/Rome,False,True,10981.06338934,Italy,Unknown Governmental Organization,EEA,45.48277800011663,9.327500000231232,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,MILANO - VERZIERE,no2 µg/m³,24266,VIA BECCARIA 19 - Milano (MI),Europe/Rome,False,True,509.13573751,Italy,Unknown Governmental Organization,EEA,45.4627779999288,9.195833000179832,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,MILANO - VERZIERE,o3 µg/m³,8613062,VIA BECCARIA 19 - Milano (MI),Europe/Rome,False,True,509.13573751,Italy,Unknown Governmental Organization,EEA,45.4627779999288,9.195833000179832,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,MILANO - VERZIERE,pm10 µg/m³,7774070,VIA BECCARIA 19 - Milano (MI),Europe/Rome,False,True,509.13573751,Italy,Unknown Governmental Organization,EEA,45.4627779999288,9.195833000179832,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,CINISELLO B.,no2 µg/m³,7773345,VIA LINCOLN - Cinisello Balsamo (MI),Europe/Rome,False,True,10156.45373678,Italy,Unknown Governmental Organization,EEA,45.551390000106245,9.22805999991218,2024-01-29T00:00:00+01:00,2026-01-28T21:00:00+01:00
Milano,MILANO PASCAL CITT� STUDI,no2 µg/m³,24273,via Pascal - Milano (MI),Europe/Rome,False,True,3945.89880718,Italy,Unknown Governmental Organization,EEA,45.47832999988908,9.235830000420052,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,MILANO PASCAL CITT� STUDI,o3 µg/m³,24272,via Pascal - Milano (MI),Europe/Rome,False,True,3945.89880718,Italy,Unknown Governmental Organization,EEA,45.47832999988908,9.235830000420052,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,MILANO PASCAL CITT� STUDI,pm10 µg/m³,7775985,via Pascal - Milano (MI),Europe/Rome,False,True,3945.89880718,Italy,Unknown Governmental Organization,EEA,45.47832999988908,9.235830000420052,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,MILANO PASCAL CITT� STUDI,pm25 µg/m³,7773388,via Pascal - Milano (MI),Europe/Rome,False,True,3945.89880718,Italy,Unknown Governmental Organization,EEA,45.47832999988908,9.235830000420052,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,SESTO S.GIOVANNI,no2 µg/m³,24280,VIA FANTI D.ITALIA - Sesto San Giovanni (MI),Europe/Rome,False,True,8575.32937052,Italy,Unknown Governmental Organization,EEA,45.53388899993441,9.23638899956348,2020-05-06T18:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,SESTO S.GIOVANNI,pm25 µg/m³,7774921,VIA FANTI D.ITALIA - Sesto San Giovanni (MI),Europe/Rome,False,True,8575.32937052,Italy,Unknown Governmental Organization,EEA,45.53388899993441,9.23638899956348,2020-05-06T18:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,MILANO - V.LE MARCHE,no2 µg/m³,24282,VIALE MARCHE 71 - Milano (MI),Europe/Rome,False,True,3498.8531684,Italy,Unknown Governmental Organization,EEA,45.4955559998796,9.191389000333311,2020-05-06T18:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,MILANO - V.LE MARCHE,pm10 µg/m³,7775924,VIALE MARCHE 71 - Milano (MI),Europe/Rome,False,True,3498.8531684,Italy,Unknown Governmental Organization,EEA,45.4955559998796,9.191389000333311,2020-05-06T18:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,MILANO - V.LE MARCHE,pm25 µg/m³,7774326,VIALE MARCHE 71 - Milano (MI),Europe/Rome,False,True,3498.8531684,Italy,Unknown Governmental Organization,EEA,45.4955559998796,9.191389000333311,2020-05-06T18:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,Cormano-Edison,no2 µg/m³,7774704,Via Edison - Cormano (MI),Europe/Rome,False,True,9447.19268849,Italy,Unknown Governmental Organization,EEA,45.547599999947366,9.1669799998911,2024-01-29T00:00:00+01:00,2026-01-28T21:00:00+01:00
Milano,Cormano-Edison,o3 µg/m³,7773586,Via Edison - Cormano (MI),Europe/Rome,False,True,9447.19268849,Italy,Unknown Governmental Organization,EEA,45.547599999947366,9.1669799998911,2024-01-29T00:00:00+01:00,2026-01-28T21:00:00+01:00
Firenze,FI-GRAMSCI,no2 µg/m³,5078863,VIALE ANTONIO GRAMSCI - Firenze (FI),Europe/Rome,False,True,1389.23517678,Italy,Unknown Governmental Organization,EEA,43.77305999992753,11.272219999912377,2022-10-04T19:00:00+02:00,2025-03-25T01:00:00+01:00
