parameter,year,station_name,sensors_percent_coverage_per_year,count,mean,std,min,25%,50%,75%,max
no2 µg/m³,2025,Torino - Rebaudengo,91.23,3846.0,30.073322932917318,8.648544059448028,15.173913043478262,23.875,28.666666666666668,34.666666666666664,71.16666666666667
no2 µg/m³,2025,Torino - Rubino,94.52,4093.0,20.305888101636942,7.079987131906374,7.434782608695652,15.0,19.529411764705884,23.91304347826087,51.16666666666666
no2 µg/m³,2025,Torino Lingotto,89.59,3852.0,25.68380062305296,9.336602886563044,10.391304347826088,17.916666666666668,25.166666666666668,31.75,57.833333333333336
o3 µg/m³,2021,Borgaro T. - Caduti,86.03,5861.0,48.04913837229142,31.662123112438188,3.5,19.09090909090909,45.208333333333336,72.36363636363636,125.17647058823528
o3 µg/m³,2021,Torino - Rubino,85.48,5709.0,44.116307584515674,30.837335673556733,3.5,16.291666666666668,39.285714285714285,69.47826086956522,125.07692307692308
o3 µg/m³,2022,Borgaro T. - Caduti,85.75,6595.0,52.559969673995454,33.04497870606753,2.25,22.90909090909091,51.79166666666666,80.70833333333333,129.875
o3 µg/m³,2022,Torino - Rubino,89.86,6965.0,57.42282842785355,38.51407592885597,3.739130434782609,19.0,54.875,87.05,147.69565217391303
o3 µg/m³,2023,Borgaro T. - Caduti,81.37,6495.0,41.94919168591224,25.389480780552468,1.8695652173913044,16.333333333333332,43.66666666666666,64.125,90.30434782608695
o3 µg/m³,2023,Torino - Rubino,78.9,6383.0,47.48942503524988,30.390930367448203,1.8333333333333333,16.375,51.41666666666666,71.70833333333333,133.08333333333334
o3 µg/m³,2024,Borgaro T. - Caduti,89.32,4520.0,43.90575221238938,28.66776210794445,1.9583333333333333,15.875,45.833333333333336,66.91666666666667,100.04166666666669
o3 µg/m³,2024,Torino - Rubino,86.58,4178.0,47.39731929152705,28.006698402008677,2.136363636363636,23.875,46.21739130434783,71.21739130434783,107.79166666666669
o3 µg/m³,2024,Torino Lingotto,81.92,3880.0,56.44845360824742,25.73215275976521,4.75,36.21739130434783,59.09153318077803,72.95238095238095,106.75
o3 µg/m³,2025,Borgaro T. - Caduti,92.33,4054.0,70.57079427725704,22.537634176452435,2.8461538461538463,55.11111111111112,70.41176470588235,87.45833333333333,120.52941176470588
o3 µg/m³,2025,Torino - Rubino,93.15,4070.0,67.3936117936118,25.761055818345138,3.0,52.41666666666666,69.0,86.1304347826087,128.11764705882354
o3 µg/m³,2025,Torino Lingotto,91.23,4006.0,65.38067898152771,21.606350329218387,1.4166666666666667,49.09090909090909,63.65217391304348,82.04166666666667,134.66666666666666
pm10 µg/m³,2022,Torino - Rubino,63.84,4573.0,25.28712005248196,12.94532159257333,6.125,14.782608695652174,22.176470588235293,33.041666666666664,74.54166666666667
pm10 µg/m³,2023,Torino - Rubino,80.0,6285.0,21.506046141607,13.684408769497425,4.318181818181818,12.214285714285714,17.105263157894736,28.26086956521739,75.83333333333333
pm10 µg/m³,2024,Torino - Rubino,84.38,2629.0,25.382274629136553,19.052640996895946,4.0,11.291666666666666,18.17391304347826,35.95454545454545,76.45833333333333
pm10 µg/m³,2025,Torino - Rubino,60.82,2488.0,18.69855305466238,8.937377113651143,3.95,11.75,17.136363636363637,24.0,48.0
pm25 µg/m³,2022,Torino - Rubino,72.88,5136.0,17.998052959501557,10.742913484399237,4.842105263157895,9.304347826086955,14.947368421052632,25.20833333333333,67.33333333333333
pm25 µg/m³,2023,Torino - Rubino,80.27,6098.0,14.903574942604132,10.012970022344291,2.95,8.25,11.5625,17.52173913043478,54.708333333333336
pm25 µg/m³,2024,Torino - Rubino,84.38,2531.0,18.082180956143816,15.689896111914669,2.761904761904762,6.125,11.285714285714286,28.166666666666668,63.125
pm25 µg/m³,2025,Torino - Rubino,60.27,2486.0,10.741351568785197,5.168789013945398,2.8,6.894736842105263,10.05,13.333333333333334,31.666666666666668
